1st Travel Date,Airline,Booking Source,Passenger Last Name First Initial,Days in Advance (buckets),Purchased Date (week),Ticket Price - Total Paid,[Ticket Price] = [Total Paid],Is Less Than Days in Advance Threshold?,Days in Advance,Itinerary Source,Passenger Name,Purchased Date,Record Locator,Rule Class,Ticket Number,Ticket Price,Total Paid,Travel Configuration
,United,Sabre,YeldellY,< Threshold,5/5/2013,0,TRUE,TRUE,8,Concur Travel,"Yeldell, Yong",5/11/2013,EUHCMR,Default Travel Class,1.62E+11,0,0,OA Consulting
,United,Sabre,YeldellY,< Threshold,5/5/2013,0,TRUE,TRUE,8,Concur Travel,"Yeldell, Yong",5/11/2013,EUHCMR,Default Travel Class,1.62E+11,0,0,OA Consulting
9/16/2013,Alaska Airlines,Sabre,YeldellY,2.1-4 wks,8/18/2013,0,TRUE,FALSE,25,Concur Travel,"Yeldell, Yong",8/22/2013,DDVNXF,Default Travel Class,2.77E+11,272,272,OA Consulting
1/21/2013,American Airlines,Sabre,SpeasS,< Threshold,1/13/2013,0,TRUE,TRUE,5,Concur Travel,"Speas, Sheridan",1/16/2013,ZZHWQX,Default Travel Class,17199007335,349,349,OA Consulting
3/31/2013,Delta,Sabre,SpeasS,< Threshold,3/17/2013,0,TRUE,TRUE,9,Concur Travel,"Speas, Sheridan",3/22/2013,NCAIXF,Default Travel Class,67215264355,390,390,OA Consulting
5/3/2013,Delta,Sabre,SpeasS,< Threshold,4/21/2013,1140,FALSE,TRUE,9,Concur Travel,"Speas, Sheridan",4/24/2013,FRMMIE,Default Travel Class,67223641288,"1,634",494,OA Consulting
5/26/2013,Delta,Sabre,SpeasS,< Threshold,5/19/2013,0,TRUE,TRUE,6,Concur Travel,"Speas, Sheridan",5/20/2013,BSMSNB,Default Travel Class,67229504126,"1,012","1,012",OA Consulting
6/3/2013,Delta,Sabre,SpeasS,< Threshold,5/19/2013,0,TRUE,TRUE,10,Concur Travel,"Speas, Sheridan",5/24/2013,AODLHK,Default Travel Class,67230293215,422,422,OA Consulting
7/21/2013,Delta,Sabre,SpeasS,2.1-4 wks,6/30/2013,0,TRUE,FALSE,20,Concur Travel,"Speas, Sheridan",7/1/2013,LSWLON,Default Travel Class,67288983735,721,721,OA Consulting
9/15/2013,Delta,Sabre,SpeasS,2.1-4 wks,8/25/2013,0,TRUE,FALSE,18,Concur Travel,"Speas, Sheridan",8/28/2013,FFRMII,Default Travel Class,67302263537,653,653,OA Consulting
10/14/2013,Delta,Sabre,SpeasS,< Threshold,10/6/2013,0,TRUE,TRUE,7,Concur Travel,"Speas, Sheridan",10/7/2013,VUVAGN,Default Travel Class,67310969943,565,565,OA Consulting
8/21/2013,Alaska Airlines,Sabre,CatalfamoC,2.1-4 wks,8/4/2013,0,TRUE,FALSE,15,Concur Travel,"Catalfamo, Crista",8/6/2013,KSCYWA,Default Travel Class,2.77E+11,265,265,OA Consulting
5/7/2013,British Airways,Sabre,ArlineA,< Threshold,4/21/2013,0,TRUE,TRUE,14,Concur Travel,"Arline, Allie",4/23/2013,ZONWWV,Default Travel Class,1.26E+12,"1,331","1,331",OA Consulting
10/14/2013,Alaska Airlines,Sabre,NogaN,2.1-4 wks,9/15/2013,0,TRUE,FALSE,25,Concur Travel,"Noga, Nikki",9/19/2013,UGRWDO,Default Travel Class,2.77E+11,529,529,OA Consulting
3/11/2013,Alaska Airlines,Sabre,SnowballS,< Threshold,2/24/2013,0,TRUE,TRUE,10,Concur Travel,"Snowball, Stephaine",3/1/2013,JDGHLC,Default Travel Class,2.77E+11,328,328,OA Consulting
4/10/2013,Alaska Airlines,Sabre,TortoraT,< Threshold,3/31/2013,0,TRUE,TRUE,8,Concur Travel,"Tortora, Tamiko",4/2/2013,IHZPDB,Default Travel Class,2.77E+11,453,453,OA Consulting
5/19/2013,Southwest,Southwest,TortoraT,< Threshold,5/12/2013,0,TRUE,TRUE,5,Concur Travel,"Tortora, Tamiko",5/14/2013,GWMKHM,Default Travel Class,5.26E+12,399,399,OA Consulting
9/15/2013,Southwest,Southwest,TortoraT,< Threshold,9/1/2013,0,TRUE,TRUE,12,Concur Travel,"Tortora, Tamiko",9/3/2013,JFOAIP,Default Travel Class,5.26E+12,218,218,OA Consulting
7/2/2013,Delta,Sabre,MccollM,4-6 wks,6/2/2013,0,TRUE,FALSE,29,Concur Travel,"Mccoll, Mitzi",6/4/2013,FFEZPT,Default Travel Class,67232438423,"1,563","1,563",OA Consulting
9/23/2013,United,Sabre,SumanS,< Threshold,9/15/2013,0,TRUE,TRUE,7,Concur Travel,"Suman, Selma",9/16/2013,GUHDAM,Default Travel Class,1.67E+11,275,275,OA Consulting
9/20/2013,Alaska Airlines,Sabre,SumanS,< Threshold,9/15/2013,0,TRUE,TRUE,4,Concur Travel,"Suman, Selma",9/16/2013,GUHDAM,Default Travel Class,2.77E+11,479,479,OA Consulting
4/22/2013,Virgin America,Sabre,AmorosoA,10-12 wks,1/27/2013,0,TRUE,FALSE,81,Concur Travel,"Amoroso, Andera",1/31/2013,BMAAUS,Default Travel Class,9.85E+12,208,208,OA Consulting
8/30/2013,Southwest,Southwest,IversenI,< Threshold,8/18/2013,0,TRUE,TRUE,10,Concur Travel,"Iversen, Ivelisse",8/20/2013,AXGERQ,Default Travel Class,5.26E+12,465,465,OA Consulting
10/27/2013,US Airways,Sabre,KesslerK,> 14 wks,7/21/2013,0,TRUE,FALSE,101,Concur Travel,"Kessler, Kai",7/23/2013,OKOBPR,,3.77E+11,669,669,OA Consulting
10/27/2013,US Airways,Sabre,KesslerK,> 14 wks,7/21/2013,0,TRUE,FALSE,101,Concur Travel,"Kessler, Kai",7/23/2013,OKOBPR,,3.77E+11,669,669,OA Consulting
10/8/2013,Alaska Airlines,Sabre,AlpaughA,4-6 wks,9/1/2013,0,TRUE,FALSE,35,Concur Travel,"Alpaugh, Alida",9/3/2013,CHEOVA,Default Travel Class,2.77E+11,549,549,OA Consulting
3/24/2013,Southwest,Southwest,JoshuaJ,6-8 wks,2/3/2013,0,TRUE,FALSE,46,Concur Travel,"Joshua, Johnny",2/6/2013,COOHII,Default Travel Class,5.26E+12,201,201,OA Consulting
3/18/2013,American Airlines,Sabre,JoshuaJ,4-6 wks,2/3/2013,0,TRUE,FALSE,40,Concur Travel,"Joshua, Johnny",2/6/2013,ICUXSE,Default Travel Class,17203567495,362,362,OA Consulting
5/8/2013,Alaska Airlines,Sabre,EslingerE,< Threshold,5/5/2013,0,TRUE,TRUE,2,Concur Travel,"Eslinger, Erich",5/6/2013,PUCBDF,Default Travel Class,2.77E+11,679,679,OA Consulting
6/7/2013,British Airways,Sabre,EslingerE,2.1-4 wks,5/19/2013,0,TRUE,FALSE,17,Concur Travel,"Eslinger, Erich",5/21/2013,MMLNIU,Default Travel Class,1.26E+12,"2,097","2,097",OA Consulting
10/22/2013,British Airways,Sabre,EslingerE,4-6 wks,9/8/2013,0,TRUE,FALSE,42,Concur Travel,"Eslinger, Erich",9/10/2013,CJMPMZ,Default Travel Class,1.26E+12,892,892,OA Consulting
7/9/2013,American Airlines,Sabre,LusbyL,2.1-4 wks,6/9/2013,0,TRUE,FALSE,26,Concur Travel,"Lusby, Liliana",6/14/2013,GIBCAS,Default Travel Class,17285478519,354,354,OA Consulting
11/14/2013,Virgin Australia,Sabre,CoffmanC,< Threshold,11/3/2013,0,TRUE,TRUE,7,Concur Travel,"Coffman, Cleopatra",11/7/2013,MWUVQK,Default Travel Class,7.96E+12,252,252,OA Consulting
11/19/2013,Virgin Australia,Sabre,CoffmanC,< Threshold,11/10/2013,0,TRUE,TRUE,5,Concur Travel,"Coffman, Cleopatra",11/14/2013,NPFSRI,Default Travel Class,7.96E+12,0,0,OA Consulting
5/27/2013,US Airways,Sabre,KlattK,2.1-4 wks,5/12/2013,228.8,FALSE,FALSE,21,Concur Travel,"Klatt, Kandace",5/12/2013,FRWWLZ,Default Travel Class,3.77E+11,518,289,OA Consulting
5/20/2013,Alaska Airlines,Sabre,KlattK,< Threshold,5/12/2013,0,TRUE,TRUE,14,Concur Travel,"Klatt, Kandace",5/12/2013,FRWWLZ,Default Travel Class,2.77E+11,0,0,OA Consulting
11/4/2013,US Airways,Sabre,FarneyF,< Threshold,10/27/2013,0,TRUE,TRUE,9,Concur Travel,"Farney, Foster",10/27/2013,QRVQVD,Default Travel Class,3.77E+11,932,932,OA Consulting
11/17/2013,Alaska Airlines,Sabre,DollingerD,> 14 wks,7/21/2013,0,TRUE,FALSE,115,Concur Travel,"Dollinger, Daniela",7/25/2013,JRHCVD,Default Travel Class,2.77E+11,300,300,OA Consulting
3/27/2013,Alaska Airlines,Sabre,AucoinA,2.1-4 wks,3/3/2013,0,TRUE,FALSE,23,Concur Travel,"Aucoin, Aldo",3/4/2013,IVIKOH,Default Travel Class,2.77E+11,340,340,OA Consulting
7/7/2013,British Airways,Sabre,KishK,> 14 wks,5/5/2013,1678.8,FALSE,FALSE,202,Concur Travel,"Kish, Kala",5/8/2013,MPBLOC,Default Travel Class,1.26E+12,"2,113",434,OA Consulting
1/31/2013,American Airlines,Sabre,LongfellowL,< Threshold,1/20/2013,0,TRUE,TRUE,10,Concur Travel,"Longfellow, Lemuel",1/21/2013,IAFZWB,Default Travel Class,17199831838,208,208,OA Consulting
12/5/2013,American Airlines,American Airlines,LongfellowL,4-6 wks,10/20/2013,0,TRUE,FALSE,42,TripIt,"Longfellow, Lemuel",10/24/2013,IAFZWB,Default Travel Class,12328594454,182,182,OA Consulting
12/8/2013,American Airlines,American Airlines,LongfellowL,6-8 wks,10/20/2013,0,TRUE,FALSE,45,TripIt,"Longfellow, Lemuel",10/24/2013,IAFZWB,Default Travel Class,12328594625,3,3,OA Consulting
3/20/2013,Lufthansa,Sabre,DamronD,< Threshold,3/10/2013,0,TRUE,TRUE,8,Concur Travel,"Damron, Darcy",3/12/2013,ZGNROA,Default Travel Class,2.21E+12,395,395,OA Consulting
6/7/2013,British Airways,Sabre,DamronD,< Threshold,5/26/2013,0,TRUE,TRUE,7,Concur Travel,"Damron, Darcy",5/31/2013,NTFKPA,Default Travel Class,1.26E+12,346,346,OA Consulting
3/3/2013,American Airlines,Sabre,LustL,2.1-4 wks,2/3/2013,0,TRUE,FALSE,24,Concur Travel,"Lust, Lore",2/7/2013,PLSFMN,Default Travel Class,17204521275,428,428,OA Consulting
2/20/2013,American Airlines,Sabre,LustL,< Threshold,2/10/2013,0,TRUE,TRUE,9,Concur Travel,"Lust, Lore",2/11/2013,IREGWF,Default Travel Class,17204521477,412,412,OA Consulting
4/15/2013,American Airlines,Sabre,CotterC,< Threshold,4/7/2013,0,TRUE,TRUE,7,Concur Travel,"Cotter, Cherlyn",4/8/2013,GPSLYQ,Default Travel Class,17219539761,704,704,OA Consulting
4/22/2013,American Airlines,Sabre,CotterC,< Threshold,4/14/2013,0,TRUE,TRUE,7,Concur Travel,"Cotter, Cherlyn",4/15/2013,MZZQRR,Default Travel Class,17221182795,"1,191","1,191",OA Consulting
5/12/2013,Alaska Airlines,Sabre,CotterC,< Threshold,4/28/2013,0,TRUE,TRUE,11,Concur Travel,"Cotter, Cherlyn",5/1/2013,EVBSWV,Default Travel Class,2.77E+11,0,0,OA Consulting
5/16/2013,Alaska Airlines,Sabre,CotterC,< Threshold,5/5/2013,0,TRUE,TRUE,10,Concur Travel,"Cotter, Cherlyn",5/6/2013,EOYUQV,Default Travel Class,2.77E+11,0,0,OA Consulting
7/7/2013,American Airlines,Sabre,CotterC,6-8 wks,5/19/2013,0,TRUE,FALSE,48,Concur Travel,"Cotter, Cherlyn",5/20/2013,IYAHHD,Default Travel Class,17229504086,461,461,OA Consulting
6/7/2013,United,Sabre,PrestiP,4-6 wks,5/5/2013,0,TRUE,FALSE,32,Concur Travel,"Presti, Perry",5/6/2013,JXPOBD,VIP,1.67E+11,"6,019","6,019",OA Consulting
1/24/2013,Alaska Airlines,Sabre,ClemC,< Threshold,1/20/2013,0,TRUE,TRUE,3,Concur Travel,"Clem, Caterina",1/23/2013,DWNDOZ,VIP,2.77E+11,412,412,OA Consulting
2/8/2013,Alaska Airlines,Sabre,ClemC,2.1-4 wks,1/20/2013,0,TRUE,FALSE,16,Concur Travel,"Clem, Caterina",1/23/2013,BKKJYU,VIP,2.77E+11,510,510,OA Consulting
2/20/2013,Alaska Airlines,Sabre,ClemC,< Threshold,2/10/2013,0,TRUE,TRUE,8,Concur Travel,"Clem, Caterina",2/12/2013,GFJBZS,VIP,2.77E+11,876,876,OA Consulting
4/14/2013,Alaska Airlines,Sabre,MillwardM,< Threshold,4/7/2013,0,TRUE,TRUE,11,Concur Travel,"Millward, Magaly",4/10/2013,DGFMQT,VIP,2.77E+11,852,852,OA Consulting
5/20/2013,Delta,Sabre,MillwardM,2.1-4 wks,4/28/2013,0,TRUE,FALSE,21,Concur Travel,"Millward, Magaly",4/29/2013,ONBRDI,VIP,67224176442,395,395,OA Consulting
9/30/2013,Alaska Airlines,Sabre,MillwardM,< Threshold,9/22/2013,0,TRUE,TRUE,7,Concur Travel,"Millward, Magaly",9/23/2013,AHAIMX,VIP,2.77E+11,896,896,OA Consulting
10/8/2013,Alaska Airlines,Sabre,MillwardM,< Threshold,9/29/2013,0,TRUE,TRUE,8,Concur Travel,"Millward, Magaly",9/30/2013,TJJOYU,VIP,2.77E+11,448,448,OA Consulting
9/22/2013,US Airways,Sabre,EaslerE,< Threshold,9/15/2013,0,TRUE,TRUE,5,Concur Travel,"Easler, Everett",9/17/2013,ZLDAUU,Default Travel Class,3.77E+11,342,342,OA Consulting
9/19/2013,American Airlines,Sabre,EaslerE,< Threshold,9/15/2013,0,TRUE,TRUE,2,Concur Travel,"Easler, Everett",9/17/2013,ZLDAUU,Default Travel Class,17306570609,540,540,OA Consulting
3/11/2013,JetBlue,Sabre,ChamnessC,< Threshold,3/3/2013,0,TRUE,TRUE,7,Concur Travel,"Chamness, Candi",3/4/2013,LNCQXV,Default Travel Class,2.80E+12,294,294,OA Consulting
3/28/2013,Delta,Sabre,ChamnessC,< Threshold,3/24/2013,0,TRUE,TRUE,3,Concur Travel,"Chamness, Candi",3/25/2013,MGKOCG,Default Travel Class,67215264440,278,278,OA Consulting
3/27/2013,United,Sabre,ChamnessC,< Threshold,3/24/2013,0,TRUE,TRUE,2,Concur Travel,"Chamness, Candi",3/25/2013,HMTVIV,Default Travel Class,1.67E+11,538,538,OA Consulting
4/15/2013,Delta,Sabre,ChamnessC,< Threshold,4/7/2013,0,TRUE,TRUE,5,Concur Travel,"Chamness, Candi",4/10/2013,DXWTAV,Default Travel Class,67219539974,787,787,OA Consulting
5/6/2013,Delta,Sabre,ChamnessC,< Threshold,4/21/2013,0,TRUE,TRUE,10,Concur Travel,"Chamness, Candi",4/26/2013,IBHSAX,Default Travel Class,67224176310,876,876,OA Consulting
5/14/2013,United,Sabre,ChamnessC,< Threshold,5/5/2013,0,TRUE,TRUE,8,Concur Travel,"Chamness, Candi",5/6/2013,HQKNFO,Default Travel Class,1.67E+11,481,481,OA Consulting
5/14/2013,United,Sabre,ChamnessC,< Threshold,5/5/2013,280.7,FALSE,TRUE,8,Concur Travel,"Chamness, Candi",5/10/2013,HQKNFO,Default Travel Class,1.67E+11,707,426,OA Consulting
5/22/2013,JetBlue,Sabre,ChamnessC,< Threshold,5/12/2013,0,TRUE,TRUE,7,Concur Travel,"Chamness, Candi",5/15/2013,NHLBAE,Default Travel Class,2.80E+12,417,417,OA Consulting
6/12/2013,United,Sabre,ChamnessC,< Threshold,6/2/2013,0,TRUE,TRUE,5,Concur Travel,"Chamness, Candi",6/7/2013,MXEEXF,Default Travel Class,1.67E+11,362,362,OA Consulting
,JetBlue,Sabre,ChamnessC,< Threshold,6/30/2013,0,TRUE,TRUE,7,Concur Travel,"Chamness, Candi",6/30/2013,CYPVBL,Default Travel Class,2.79E+12,0,0,OA Consulting
,JetBlue,Sabre,ChamnessC,< Threshold,7/7/2013,0,TRUE,TRUE,8,Concur Travel,"Chamness, Candi",7/9/2013,FYYZFL,Default Travel Class,2.79E+12,0,0,OA Consulting
7/29/2013,US Airways,Sabre,ChamnessC,< Threshold,7/21/2013,0,TRUE,TRUE,6,Concur Travel,"Chamness, Candi",7/23/2013,CAFXHJ,Default Travel Class,3.77E+11,388,388,OA Consulting
8/13/2013,JetBlue,Sabre,ChamnessC,< Threshold,8/4/2013,0,TRUE,TRUE,7,Concur Travel,"Chamness, Candi",8/6/2013,ZIAXBZ,Default Travel Class,2.80E+12,258,258,OA Consulting
8/21/2013,Delta,Sabre,ChamnessC,< Threshold,8/4/2013,0,TRUE,TRUE,12,Concur Travel,"Chamness, Candi",8/9/2013,OQBAZL,Default Travel Class,67297932614,288,288,OA Consulting
9/19/2013,Delta,Sabre,ChamnessC,< Threshold,9/8/2013,0,TRUE,TRUE,8,Concur Travel,"Chamness, Candi",9/11/2013,EOKFQW,Default Travel Class,67304979151,682,682,OA Consulting
10/2/2013,JetBlue,Sabre,ChamnessC,< Threshold,9/22/2013,0,TRUE,TRUE,8,Concur Travel,"Chamness, Candi",9/24/2013,FMGGJX,Default Travel Class,2.80E+12,223,223,OA Consulting
1/10/2013,United,Sabre,KerfootK,4-6 wks,1/6/2013,555.2,FALSE,FALSE,30,Concur Travel,"Kerfoot, Karlene",1/9/2013,AJXOQM,Default Travel Class,1.67E+11,705,150,OA Consulting
7/8/2013,Alaska Airlines,Sabre,SecordS,4-6 wks,6/2/2013,0,TRUE,FALSE,34,Concur Travel,"Secord, Slyvia",6/4/2013,FHJDLE,Default Travel Class,2.77E+11,851,851,OA Consulting
,Alaska Airlines,Sabre,SecordS,4-6 wks,7/7/2013,0,TRUE,FALSE,34,Concur Travel,"Secord, Slyvia",7/12/2013,FHJDLE,Default Travel Class,2.72E+11,0,0,OA Consulting
11/12/2013,United,Sabre,EarnshawE,< Threshold,11/3/2013,0,TRUE,TRUE,5,Concur Travel,"Earnshaw, Elwood",11/7/2013,EYTNNF,Default Travel Class,1.67E+11,237,237,OA Consulting
2/20/2013,Southwest,Southwest,BenaventeB,< Threshold,2/10/2013,0,TRUE,TRUE,5,Concur Travel,"Benavente, Brenna",2/15/2013,GMWXKI,Default Travel Class,5.26E+12,380,380,OA Consulting
7/8/2013,Southwest,Southwest,NegronN,6-8 wks,5/12/2013,0,TRUE,FALSE,55,Concur Travel,"Negron, Nelia",5/14/2013,PJUEXA,Default Travel Class,5.26E+12,486,486,OA Consulting
10/4/2013,Southwest,Southwest,NegronN,< Threshold,9/22/2013,0,TRUE,TRUE,7,Concur Travel,"Negron, Nelia",9/27/2013,LCBMLZ,Default Travel Class,5.26E+12,514,514,OA Consulting
10/22/2013,Southwest,Southwest,NegronN,< Threshold,10/13/2013,0,TRUE,TRUE,5,Concur Travel,"Negron, Nelia",10/17/2013,UGBPJQ,Default Travel Class,5.26E+12,336,336,OA Consulting
10/7/2013,Virgin America,Sabre,FrutosF,< Threshold,9/22/2013,0,TRUE,TRUE,10,Concur Travel,"Frutos, Florence",9/27/2013,MKOCIH,Default Travel Class,9.85E+12,341,341,OA Consulting
1/13/2013,United,Sabre,ArnotA,< Threshold,12/30/2012,0,TRUE,TRUE,9,Concur Travel,"Arnot, Amalia",1/4/2013,IGKCGB,Default Travel Class,1.67E+11,549,549,OA Consulting
3/4/2013,Delta,Sabre,OursO,< Threshold,2/24/2013,634.6,FALSE,TRUE,3,Concur Travel,"Ours, Orval",3/1/2013,BAFHDT,Default Travel Class,67210142803,794,160,OA Consulting
3/19/2013,United,Sabre,OursO,2.1-4 wks,3/3/2013,0,TRUE,FALSE,15,Concur Travel,"Ours, Orval",3/4/2013,FBAIFV,Default Travel Class,1.67E+11,244,244,OA Consulting
3/31/2013,United,Sabre,OursO,< Threshold,3/24/2013,0,TRUE,TRUE,2,Concur Travel,"Ours, Orval",3/29/2013,LRIUHS,Default Travel Class,1.67E+11,817,817,OA Consulting
5/5/2013,Southwest,Southwest,OursO,< Threshold,4/21/2013,285.6,FALSE,TRUE,9,Concur Travel,"Ours, Orval",4/26/2013,FZNDXK,Default Travel Class,5.26E+12,412,126,OA Consulting
7/7/2013,United,Sabre,OursO,8-10 wks,5/5/2013,0,TRUE,FALSE,59,Concur Travel,"Ours, Orval",5/9/2013,IRIHDH,Default Travel Class,1.67E+11,739,739,OA Consulting
5/30/2013,United,Sabre,OursO,< Threshold,5/19/2013,0,TRUE,TRUE,9,Concur Travel,"Ours, Orval",5/22/2013,EMNOJV,Default Travel Class,1.67E+11,387,387,OA Consulting
6/4/2013,US Airways,Sabre,OursO,< Threshold,5/26/2013,0,TRUE,TRUE,6,Concur Travel,"Ours, Orval",5/29/2013,CLPIQB,Default Travel Class,3.77E+11,591,591,OA Consulting
6/17/2013,Southwest,Southwest,OursO,< Threshold,6/2/2013,0,TRUE,TRUE,14,Concur Travel,"Ours, Orval",6/3/2013,AURBAJ,Default Travel Class,5.26E+12,214,214,OA Consulting
6/9/2013,United,Sabre,OursO,2.1-4 wks,6/2/2013,445.6,FALSE,FALSE,18,Concur Travel,"Ours, Orval",6/4/2013,ZLLSSK,Default Travel Class,1.67E+11,"1,919","1,474",OA Consulting
8/18/2013,United,Sabre,OursO,< Threshold,8/11/2013,0,TRUE,TRUE,3,Concur Travel,"Ours, Orval",8/15/2013,MJOUPE,Default Travel Class,1.67E+11,0,0,OA Consulting
9/8/2013,US Airways,Sabre,OursO,2.1-4 wks,8/18/2013,0,TRUE,FALSE,16,Concur Travel,"Ours, Orval",8/23/2013,JAFZPB,Default Travel Class,3.77E+11,286,286,OA Consulting
11/10/2013,United,Sabre,OursO,2.1-4 wks,10/13/2013,0,TRUE,FALSE,27,Concur Travel,"Ours, Orval",10/14/2013,BBGVJH,Default Travel Class,1.67E+11,420,420,OA Consulting
12/1/2013,United,Sabre,OursO,2.1-4 wks,11/3/2013,0,TRUE,FALSE,22,Concur Travel,"Ours, Orval",11/9/2013,RBXLXD,Default Travel Class,1.67E+11,667,667,OA Consulting
11/17/2013,United,Sabre,OursO,2.1-4 wks,11/10/2013,240.6,FALSE,FALSE,20,Concur Travel,"Ours, Orval",11/11/2013,YPUQIR,Default Travel Class,1.67E+11,450,209,OA Consulting
5/5/2013,British Airways,Sabre,MauroM,< Threshold,4/21/2013,0,TRUE,TRUE,14,Concur Travel,"Mauro, Melani",4/21/2013,EFVTUX,Default Travel Class,1.26E+12,"1,697","1,697",OA Consulting
11/3/2013,British Airways,Sabre,MauroM,< Threshold,10/20/2013,0,TRUE,TRUE,12,Concur Travel,"Mauro, Melani",10/22/2013,BASESK,Default Travel Class,1.26E+12,237,237,OA Consulting
9/17/2013,Virgin America,Sabre,MuiseM,< Threshold,9/1/2013,0,TRUE,TRUE,11,Concur Travel,"Muise, Mia",9/6/2013,EHXVWC,Default Travel Class,9.85E+12,198,198,OA Consulting
11/12/2013,Alaska Airlines,Sabre,LandryL,4-6 wks,11/3/2013,156.8,FALSE,FALSE,32,Concur Travel,"Landry, Latarsha",11/5/2013,HFOLMP,Default Travel Class,2.77E+11,232,75,OA Consulting
,Alaska Airlines,Sabre,LandryL,4-6 wks,11/10/2013,0,TRUE,FALSE,32,Concur Travel,"Landry, Latarsha",11/12/2013,HFOLMP,Default Travel Class,2.72E+11,0,0,OA Consulting
,Alaska Airlines,Sabre,LandryL,4-6 wks,11/10/2013,0,TRUE,FALSE,32,Concur Travel,"Landry, Latarsha",11/15/2013,HFOLMP,Default Travel Class,2.72E+11,0,0,OA Consulting
7/8/2013,American Airlines,Sabre,BilbreyB,8-10 wks,5/5/2013,0,TRUE,FALSE,59,Concur Travel,"Bilbrey, Bridgett",5/10/2013,JIRRIO,Default Travel Class,17227640013,282,282,OA Consulting
7/12/2013,Delta,Sabre,BilbreyB,8-10 wks,5/5/2013,0,TRUE,FALSE,63,Concur Travel,"Bilbrey, Bridgett",5/10/2013,JIRRIO,Default Travel Class,67227640014,357,357,OA Consulting
4/18/2013,Southwest,Southwest,LindblomL,< Threshold,4/7/2013,0,TRUE,TRUE,9,Concur Travel,"Lindblom, Lasandra",4/9/2013,CBYNZI,Default Travel Class,5.26E+12,548,548,OA Consulting
3/6/2013,Alaska Airlines,Sabre,AdamA,2.1-4 wks,2/3/2013,0,TRUE,FALSE,27,Concur Travel,"Adam, Akilah",2/7/2013,ZUCFIA,Default Travel Class,2.77E+11,166,166,OA Consulting
,Alaska Airlines,Sabre,GerlingG,4-6 wks,1/6/2013,0,TRUE,FALSE,38,Concur Travel,"Gerling, Glennie",1/10/2013,OEIKLY,Default Travel Class,2.72E+11,0,0,OA Consulting
4/24/2013,American Airlines,Sabre,CoplanC,< Threshold,4/14/2013,0,TRUE,TRUE,8,Concur Travel,"Coplan, Chong",4/16/2013,FDZRSI,Default Travel Class,17221182844,0,0,OA Consulting
7/8/2013,United,Sabre,CoplanC,8-10 wks,5/5/2013,0,TRUE,FALSE,59,Concur Travel,"Coplan, Chong",5/10/2013,HKMBXA,Default Travel Class,1.67E+11,306,306,OA Consulting
